a52dec 0.8.0-2
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
nim 2.0.8-1
nm-connection-editor 1.36.0-1
node-gyp 11.2.0-1
nodejs 24.2.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.06.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
noto-fonts-extra 1:2025.06.01-1
npm 11.4.2-1
npth 1.8-1
nspr 4.36-1
nss 3.113-1
nvm 0.40.3-1
ocl-icd 2.3.3-1
oniguruma 6.9.10-1
opencore-amr 0.1.6-2
openjpeg2 2.5.3-1
openssh 10.0p1-3
openssl 3.5.0-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
osinfo-db 20250606-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20250522-1
pahole 1:1.30-2
pam 1.7.1-1
pambase 20230918-2
pango 1:1.56.3-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.1-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
peaclock 0.4.3-2
peaclock-debug 0.4.3-2
perl 5.40.2-1
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17030-1
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.78-1
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-net-http 6.23-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.32-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
picom 12.5-3
pinentry 1.3.1-5
pixman 0.46.2-1
pkgconf 2.5.0-1
pngquant 3.0.3-2
polkit 126-2
poppler 25.06.0-1
poppler-data 0.4.12-2
poppler-glib 25.06.0-1
poppler-qt6 25.06.0-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
procps-ng 4.0.5-3
psmisc 23.7-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulsemixer 1.5.1-7
python 3.13.5-1
python-anyio 4.9.0-1
python-argcomplete 3.6.2-1
python-argon2-cffi 25.1.0-1
python-argon2-cffi-bindings 21.2.0-6
python-asttokens 3.0.0-1
python-async-lru 2.0.5-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-babel 2.17.0-1
python-beautifulsoup4 4.13.3-1
python-bleach 6.2.0-2
python-build 1.2.2-3
python-certifi 2025.06.15-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.2-1
python-click 8.1.8-1
python-colorama 0.4.6-5
python-comm 0.2.2-3
python-cryptography 45.0.4-1
python-dateutil 2.9.0-6
python-decorator 5.2.1-1
python-defusedxml 0.7.1-7
python-deprecation 2.1.0-10
python-distutils-extra 2.39-14
python-editables 0.5-5
python-executing 2.2.0-1
python-fastjsonschema 2.21.1-1
python-gpgme 2-3
python-h11 0.16.0-1
python-hatch-vcs 0.4.0-4
python-hatchling 1.27.0-1
python-httpcore 1.0.9-2
python-httpx 0.28.1-3
python-idna 3.10-2
python-importlib-metadata 8.7.0-1
python-importlib_resources 6.5.2-1
python-installer 0.7.0-10
python-ipykernel 6.29.5-3
python-ipython-pygments-lexers 1.1.1-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jedi 0.19.2-1
python-jinja 1:3.1.6-1
python-json-logger 3.3.0-1
python-json5 0.12.0-1
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-jupyter-client 8.6.3-3
python-jupyter-core 5.8.1-1
python-jupyter-events 0.12.0-1
python-jupyterlab-server 2.27.3-3
python-lxml 5.4.0-1
python-markdown-it-py 3.0.0-4
python-markupsafe 3.0.2-1
python-matplotlib-inline 0.1.7-2
python-mdurl 0.1.2-8
python-mistune 1:3.1.3-1
python-more-itertools 10.7.0-1
python-nest-asyncio 1.6.0-4
python-overrides 7.7.0-3
python-packaging 25.0-1
python-pandocfilters 1.5.1-3
python-parso 1:0.8.4-3
python-pathspec 0.12.1-3
python-pdfminer 20240706-2
python-pexpect 4.9.0-4
python-pikepdf 9.9.0-1
python-pillow 11.2.1-1
python-platformdirs 4.3.6-2
python-pluggy 1.6.0-1
python-prometheus_client 0.22.1-1
python-prompt_toolkit 3.0.51-1
python-psutil 7.0.0-1
python-ptyprocess 0.7.0-8
python-pure-eval 0.2.3-2
python-pycparser 2.22-3
python-pygments 2.19.1-1
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.17.0-1
python-pysocks 1.7.1-10
python-pytz 2025.2-1
python-pyzmq 26.2.0-1
python-referencing 0.35.1-3
python-reportlab 4.2.2-5
python-requests 2.32.4-1
python-rich 14.0.0-1
python-rpds-py 0.22.3-1
python-ruamel-yaml 0.18.10-1
python-ruamel.yaml.clib 0.2.12-3
python-send2trash 1.8.3-2
python-setuptools 1:80.9.0-1
python-setuptools-scm 8.3.1-1
python-shtab 1.7.1-3
python-six 1.17.0-1
python-sniffio 1.3.1-4
python-soupsieve 2.6-2
python-stack-data 0.6.3-4
python-termcolor 2.5.0-1
python-tinycss2 1.4.0-2
python-tornado 6.4.2-1
python-tqdm 4.67.1-2
python-traitlets 5.14.3-3
python-trove-classifiers 2025.5.9.12-1
python-typing_extensions 4.13.2-1
python-urllib3 2.5.0-1
python-wcwidth 0.2.13-3
python-webencodings 0.5.1-12
python-websocket-client 1.8.0-2
python-wheel 0.45.1-1
python-yaml 6.0.2-2
python-zipp 3.21.0-2
qbittorrent-nox 5.1.1-1
qpdf 12.2.0-1
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt6-5compat 6.9.1-1
qt6-base 6.9.1-2
qt6-declarative 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-svg 6.9.1-1
qt6-translations 6.9.1-1
quazip-qt6 1.5-1
rav1e 0.7.1-1
readline 8.2.013-2
rhash 1.4.4-1
ripgrep 14.1.1-1
rtkit 0.13-3
rubberband 4.0.0-1
runc 1.3.0-1
rust-analyzer 20250616-1
rustup 1.28.2-2
screen 5.0.1-3
sdl2-compat 2.32.56-1
sdl3 3.2.16-1
sed 4.9-3
semver 7.7.2-1
shaderc 2025.2-2
shadow 4.17.4-1
shared-mime-info 2.4-2
simdjson 1:3.13.0-1
slang 2.3.3-3
smartmontools 7.5-1
snappy 1.2.2-2
sndio 1.10.0-1
sound-theme-freedesktop 0.8-6
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.313.0-1
sqlite 3.50.1-1
srt 1.5.4-1
startup-notification 0.12-8
stylua 2.1.0-1
sudo 1.9.16.p2-2
svt-av1 3.0.2-1
systemd 257.6-1
systemd-libs 257.6-1
systemd-sysvcompat 257.6-1
taglib 2.1-1
tar 1.35-2
tdb 1.4.13-1
tesseract 5.5.1-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-eng 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
texinfo 7.2-1
texlive-basic 2025.2-1
texlive-bibtexextra 2025.2-1
texlive-bin 2025.2-1
texlive-binextra 2025.2-1
texlive-context 2025.2-1
texlive-fontsextra 2025.2-1
texlive-fontsrecommended 2025.2-1
texlive-fontutils 2025.2-1
texlive-formatsextra 2025.2-1
texlive-games 2025.2-1
texlive-humanities 2025.2-1
texlive-latex 2025.2-1
texlive-latexextra 2025.2-1
texlive-latexrecommended 2025.2-1
texlive-luatex 2025.2-1
texlive-mathscience 2025.2-1
texlive-metapost 2025.2-1
texlive-music 2025.2-1
texlive-pictures 2025.2-1
texlive-plaingeneric 2025.2-1
texlive-pstricks 2025.2-1
texlive-publishers 2025.2-1
texlive-xetex 2025.2-1
texstudio 4.8.7-1
tinysparql 3.9.2-2
tldr 3.4.1-1
tmux 3.5_a-1
tor 0.4.8.16-1
torbrowser-launcher 0.3.7-3
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.25.6-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-query 0.6.2-1
tree-sitter-vim 0.6.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fira-code 6.2-2
ttf-font-awesome 6.7.2-1
ttf-hack 3.003-7
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-roboto 3.011-1
ttf-symbola 14.00-2
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.1-6
